Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Select Investors 1,Select Investors 2,Select Investors 3,Select Investors 4,Number of Investors
Dremio,$2B,1/6/2021,Data management & analytics,Santa Clara,United States,North America,2015,$410M,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners,,3
Druva,$2B,6/20/2019,Data management & analytics,Sunnyvale,United States,North America,2007,$475M,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",Nexus Venture Partners, Tenaya Capital, Sequoia Capital,,3
Everlaw,$2B,3/10/2020,Internet software & services,Oakland,United States,North America,2010,$299M,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",K9 Ventures, Menlo Ventures, Andreessen Horowitz,,3
Exotec,$2B,1/17/2022,Hardware,Croix,France,Europe,2015,$450M,"Breega Capital, Iris Capital, 360 Capital Partners",Breega Capital, Iris Capital, 360 Capital Partners,,3
Formlabs,$2B,8/1/2018,Hardware,Somerville,United States,North America,2011,$251M,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",Pitango Venture Capital, DFJ Growth Fund, Foundry Group,,3
Guoquan Shihui,$2B,3/17/2021,Consumer & retail,Shanghai,China,Asia,2017,$523M,"Tiantu Capital, CMB International Capital, Vision Knight Capital",Tiantu Capital, CMB International Capital, Vision Knight Capital,,3
Hive,$2B,4/21/2021,Artificial intelligence,San Francisco,United States,North America,2013,$121M,"Tomales Bay Capital, Bain & Company, General Catalyst",Tomales Bay Capital, Bain & Company, General Catalyst,,3
HuiMin,$2B,9/5/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2013,$517M,"Zheshang Venture Capital, GP Capital, Western Capital Management",Zheshang Venture Capital, GP Capital, Western Capital Management,,3
ISN,$2B,12/17/2020,"Supply chain, logistics, & delivery",Dallas,United States,North America,2001,Unknown,Blackstone,Blackstone,,,,1
Iterable,$2B,6/15/2021,Internet software & services,San Francisco,United States,North America,2013,$342M,"CRV, Blue Cloud Ventures, Index Ventures",CRV, Blue Cloud Ventures, Index Ventures,,3
Kajabi,$2B,5/4/2021,Internet software & services,Irvine,United States,North America,2010,$550M,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",Meritech Capital Partners, Tiger Global Management, Spectrum Equity,,3
Kaseya,$2B,3/27/2019,Cybersecurity,Miami,United States,North America,2000,$545M,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund,,3
Keep,$2B,5/19/2020,Mobile & telecommunications,Beijing,China,Asia,2014,$614M,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital,,3
KRY,$2B,4/27/2021,Health,Stockholm,Sweden,Europe,2014,$569M,"Index Ventures, Creandum, Accel",Index Ventures, Creandum, Accel,,3
Loggi,$2B,6/5/2019,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2013,$507M,"Qualcomm Ventures, SoftBank Group, Monashees+",Qualcomm Ventures, SoftBank Group, Monashees+,,3
LTK,$2B,11/22/2021,Internet software & services,Dallas,United States,North America,2011,$315M,"SoftBank Group, Maverick Capital",SoftBank Group, Maverick Capital,,,2
Lunar,$2B,7/12/2021,Fintech,Aarhus,Denmark,Europe,2015,$448M,"SEED Capital, Greyhound Capital, Socii Capital",SEED Capital, Greyhound Capital, Socii Capital,,3
Mafengwo,$2B,5/23/2019,Travel,Beijing,China,Asia,2010,$503M,"Qiming Venture Partners, Capital Today, General Atlantic",Qiming Venture Partners, Capital Today, General Atlantic,,3
Magic Leap,$2B,10/21/2014,Hardware,Plantation,United States,North America,2010,$3B,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz,,3
Misfits Market,$2B,4/21/2021,E-commerce & direct-to-consumer,Pennsauken,United States,North America,2018,$527M,"Accel, D1 Capita Partners, Greenoaks Capital Management",Accel, D1 Capita Partners, Greenoaks Capital Management,,3
Modern Treasury,$2B,10/6/2021,Fintech,San Francisco,United States,North America,2018,$183M,"Benchmark, Altimeter Capital, Quiet Capital",Benchmark, Altimeter Capital, Quiet Capital,,3
MURAL,$2B,7/20/2021,Internet software & services,San Francisco,United States,North America,2011,$192M,"Insight Partners, Tiger Global Management, Gradient Ventures",Insight Partners, Tiger Global Management, Gradient Ventures,,3
Mynt,$2B,11/1/2021,Fintech,Taguig City,Philippines,Asia,2015,$475M,"Insight Partners, Warburg Pincus, Ayala Corporation",Insight Partners, Warburg Pincus, Ayala Corporation,,3
Neo4j,$2B,6/17/2021,Data management & analytics,San Mateo,United States,North America,2007,$408M,"Eight Roads Ventures, One Peak Partners, Creandum",Eight Roads Ventures, One Peak Partners, Creandum,,3
Netlify,$2B,11/17/2021,Internet software & services,San Francisco,United States,North America,2014,$202M,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures,,3
OCSiAl,$2B,3/4/2019,Other,Leudelange,Luxembourg,Europe,2012,$285M,"A&NN, Rusnano",A&NN, Rusnano,,,2
Opay,$2B,8/23/2021,Fintech,Lagos,Nigeria,Africa,2018,$570M,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",Sequoia Capital China, Source Code Capital, Redpoint Ventures China,,3
Pipe,$2B,5/19/2021,Fintech,Miami,United States,North America,2019,$566M,"next47, MaC Venture Capital, FinVC",next47, MaC Venture Capital, FinVC,,3
Preferred Networks,$2B,5/17/2018,Artificial intelligence,Tokyo,Japan,Asia,2014,$147M,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",Toyota Motor Corporation, Mizuho Financial Group, FANUC,,3
Quora,$2B,4/21/2017,Internet software & services,Mountain View,United States,North America,2009,$226M,"Y Combinator, Matrix Partners, Benchmark",Y Combinator, Matrix Partners, Benchmark,,3
Redis Labs,$2B,8/25/2020,Data management & analytics,Mountain View,United States,North America,2011,$356M,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",Viola Ventures, Dell Technologies Capital, Bain Capital Ventures,,3
SmartNews,$2B,8/5/2019,Mobile & telecommunications,Tokyo,Japan,Asia,2012,$410M,"Japan Post Capital, Globis Capital Partners, Atomico",Japan Post Capital, Globis Capital Partners, Atomico,,3
Spring Health,$2B,9/16/2021,Health,New York,United States,North America,2016,$296M,"Rethink Impact, Work-Bench, RRE Ventures",Rethink Impact, Work-Bench, RRE Ventures,,3
StarkWare,$2B,11/17/2021,Cybersecurity,Netanya,Israel,Asia,2018,$161M,"Sequoia Capital, Paradigm, Pantera Capital",Sequoia Capital, Paradigm, Pantera Capital,,3
SWORD Health,$2B,11/22/2021,Health,New York,United States,North America,2015,$296M,"Khosla Ventures, Green Innovations, Founders Fund",Khosla Ventures, Green Innovations, Founders Fund,,3
Tier,$2B,10/25/2021,Travel,Berlin,Germany,Europe,2018,$587M,"Northzone Ventures, White Star Capital, Novator Partners",Northzone Ventures, White Star Capital, Novator Partners,,3
Trendy Group International,$2B,2/13/2012,Consumer & retail,Kowloon,Hong Kong,Asia,1999,$200M,L Capital Partners,L Capital Partners,,,,1
Unqork,$2B,10/6/2020,Fintech,New York,United States,North America,2017,$365M,"Blackrock, capitalG, World Lab Innovation",Blackrock, capitalG, World Lab Innovation,,3
VerbIT,$2B,6/8/2021,Artificial intelligence,New York,United States,North America,2016,$432M,"ClalTech, Vertex Ventures, Oryzn Capital",ClalTech, Vertex Ventures, Oryzn Capital,,3
Virta Health,$2B,12/2/2020,Health,San Francisco,United States,North America,2015,$373M,"Caffeinated Capital, Obvious Ventures, Venrock",Caffeinated Capital, Obvious Ventures, Venrock,,3
Xinchao Media,$2B,4/9/2018,Internet software & services,Chengdu,China,Asia,2007,$768M,"JD.com, Baidu, Vision Plus Capital",JD.com, Baidu, Vision Plus Capital,,3
Xingyun Group,$2B,9/24/2020,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2015,$950M,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings,,3
XtalPi,$2B,8/11/2021,Artificial intelligence,Shenzhen,China,Asia,2014,$786M,"Tencent Holdings, 5Y Capital, Sequoia Capital China",Tencent Holdings, 5Y Capital, Sequoia Capital China,,3
Zilch,$2B,11/10/2021,Fintech,London,United Kingdom,Europe,2018,$339M,"Gauss Ventures, Ventura Capital, dmg ventures",Gauss Ventures, Ventura Capital, dmg ventures,,3
56PINGTAI,$1B,1/25/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2013,$188M,"QF Capital, QC Capital, Unicom Innovation Venture Capital",QF Capital, QC Capital, Unicom Innovation Venture Capital,,3
Alzheon,$1B,9/30/2020,Health,Framingham,United States,North America,2013,$94M,"ARCH Venture Partners, Ally Bridge Group",ARCH Venture Partners, Ally Bridge Group,,,2
Aprogen,$1B,5/31/2019,Health,Seongnam-Si,South Korea,Asia,2000,$62M,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",Lindeman Asia Investment, Nichi-Iko Pharmaceutical,,,2
Axtria,$1B,5/13/2021,Data management & analytics,Berkeley Heights,United States,North America,2009,$206M,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India,,3
Cell C,$1B,8/7/2017,Mobile & telecommunications,Midrand,South Africa,Africa,2000,$547M,"Blue Label Telecoms, Net1 UEPS Technologies",Blue Label Telecoms, Net1 UEPS Technologies,,,2
China Cloud,$1B,6/11/2018,Hardware,Wuxi,China,Asia,2010,$523M,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management,,3
CredAvenue,$1B,3/7/2022,Fintech,Chennai,India,Asia,2017,$227M,"Insight Partners, B Capital Group, Lightspeed Venture Partners",Insight Partners, B Capital Group, Lightspeed Venture Partners,,3
DeepBlue Technology,$1B,4/16/2018,Artificial intelligence,Shanghai,China,Asia,2014,$79M,"DESUN Capital, Yunfeng Capital, Meridian Capital",DESUN Capital, Yunfeng Capital, Meridian Capital,,3
dMed Biopharmaceutical,$1B,7/12/2021,Health,Shanghai,China,Asia,2016,$214M,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",Qiming Venture Partners, Vivo Capital, Sequoia Capital China,,3
Einride,$1B,12/31/2021,Auto & transportation,Stockholm,Sweden,Europe,2016,$151M,"Temasek, BUILD Capital Partners, Northzone Ventures",Temasek, BUILD Capital Partners, Northzone Ventures,,3
EQRx,$1B,1/11/2021,Health,Cambridge,United States,North America,2020,$700M,"Nextech Invest, Casdin Capital, Google Ventures",Nextech Invest, Casdin Capital, Google Ventures,,3
Everly Health,$1B,12/3/2020,E-commerce & direct-to-consumer,Austin,United States,North America,2015,$231M,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",Highland Capital Partners, Next Coast Ventures, SoGal Ventures,,3
Fair,$1B,12/20/2018,Auto & transportation,Santa Monica,United States,North America,2016,$2B,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group,,3
Flipboard,$1B,7/22/2015,Internet software & services,Palo Alto,United States,North America,2010,$211M,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners,,3
Globality,$1B,1/22/2019,Artificial intelligence,Menlo Park,United States,North America,2015,$310M,SoftBank Group,SoftBank Group,,,,1
Hosjoy,$1B,10/18/2018,E-commerce & direct-to-consumer,Nanjing,China,Asia,2009,$139M,"U.S.-China Green Fund, Founder H Fund, Richland Equities",U.S.-China Green Fund, Founder H Fund, Richland Equities,,3
Huisuanzhang,$1B,5/24/2021,Fintech,Beijing,China,Asia,2015,$227M,"IDG Capital, Gaocheng Capital, Chuanrong Capital",IDG Capital, Gaocheng Capital, Chuanrong Capital,,3
HuJiang,$1B,10/29/2015,Edtech,Shanghai,China,Asia,2001,$223M,"China Minsheng Investment, Baidu, Wanxin Media",China Minsheng Investment, Baidu, Wanxin Media,,3
Hyperchain,$1B,4/11/2021,Fintech,Hangzhou,China,Asia,2016,$249M,"Yinhong Equity Investment Fund, E Fund, Ideal International",Yinhong Equity Investment Fund, E Fund, Ideal International,,3
iTutorGroup,$1B,11/18/2015,Edtech,Shanghai,China,Asia,1998,$315M,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",QiMing Venture Partners, Temasek Holdings, Silverlink Capital,,3
JimuBox,$1B,4/21/2015,Fintech,Beijing,China,Asia,2013,$131M,"Matrix Partners China, Ventech China, Shunwei Capital Partners",Matrix Partners China, Ventech China, Shunwei Capital Partners,,3
Juma Peisong,$1B,11/26/2018,"Supply chain, logistics, & delivery",Chengdu,China,Asia,2011,$281M,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital,,3
Justworks,$1B,1/28/2020,Internet software & services,New York,United States,North America,2012,$143M,"Index Ventures, Thrive Capital, Bain Capital Ventures",Index Ventures, Thrive Capital, Bain Capital Ventures,,3
Keenon Robotics,$1B,9/15/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2010,$229M,"Yunqi Partners, SoftBank Group, iVision Ventures",Yunqi Partners, SoftBank Group, iVision Ventures,,3
Kuaigou Dache,$1B,7/13/2018,"Supply chain, logistics, & delivery",Tianjin,China,Asia,2014,$650M,"Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds",Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds,,3
LifeMiles,$1B,7/13/2015,Other,Bogota,Colombia,South America,2011,$344M,Advent International,Advent International,,,,1
LinkSure Network,$1B,1/1/2015,Mobile & telecommunications,Shanghai,China,Asia,2013,$52M,N/A,N/A,,,,1
MobiKwik,$1B,10/13/2021,Fintech,Gurugram,India,Asia,2009,$249M,"Sequoia Capital India, The Times Group, GMO VenturePartners",Sequoia Capital India, The Times Group, GMO VenturePartners,,3
Modernizing Medicine,$1B,5/10/2017,Health,Boca Raton,United States,North America,2010,$394M,"Warburg Pincus, Summit Partners, Sands Capital",Warburg Pincus, Summit Partners, Sands Capital,,3
OVH,$1B,8/15/2016,Other,Roubaix,France,Europe,1999,$1B,"KKR, TowerBrook Capital Partners",KKR, TowerBrook Capital Partners,,,2
Phenom People,$1B,4/7/2021,Internet software & services,Ambler,United States,North America,2011,$163M,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures,,3
Pipa Coding,$1B,3/25/2021,Edtech,Beijing,China,Asia,2017,$268M,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",Source Code Capital, XVC Venture Capital, Hillhouse Capital Management,,3
Qingting FM,$1B,6/2/2021,Internet software & services,Shanghai,China,Asia,2011,$164M,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group,,3
Rad Power Bikes,$1B,10/28/2021,Auto & transportation,Seattle,United States,North America,2007,$329M,"Durable Capital Partners, Cercano Management, T. Rowe Price",Durable Capital Partners, Cercano Management, T. Rowe Price,,3
Shukun Technology,$1B,8/16/2021,Artificial Intelligence,Beijing,China,Asia,2017,$211M,"Marathon Venture Partners, Huagai Capital, China Creation Ventures",Marathon Venture Partners, Huagai Capital, China Creation Ventures,,3
Shulan Health,$1B,3/1/2021,Health,Hangzhou,China,Asia,2015,$43M,Qiming Venture Partners,Qiming Venture Partners,,,,1
SITECH DEV,$1B,5/16/2019,Other,Guiyang,China,Asia,2017,Unknown,China Prosperity Capital,China Prosperity Capital,,,,1
Snapdeal,$1B,5/21/2014,E-commerce & direct-to-consumer,New Delhi,India,Asia,2008,$2B,"SoftBankGroup, Blackrock, Alibaba Group",SoftBankGroup, Blackrock, Alibaba Group,,3
SumUp,$1B,7/16/2019,Fintech,London,United Kingdom,Europe,2011,$1B,"American Express Ventures, Goldman Sachs, Bain Capital Credit",American Express Ventures, Goldman Sachs, Bain Capital Credit,,3
TalkingData,$1B,1/6/2021,Mobile & telecommunications,Beijing,China,Asia,2013,$310M,"N5 Capital, CR Capital Mgmt, JD Digits",N5 Capital, CR Capital Mgmt, JD Digits,,3
TUNGEE,$1B,12/15/2021,Artificial Intelligence,Guangzhou,China,Asia,2016,$171M,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",UNITY VENTURES, Qiming Venture Partners, GGV Capital,,3
UISEE Technology,$1B,1/25/2021,"Supply chain, logistics, & delivery",Beijing,China,Asia,2016,$154M,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures,,3
Valgen Medtech,$1B,5/6/2021,Health,Hangzhou,China,Asia,2015,$188M,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners",Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners,,3
Vectra Networks,$1B,4/29/2021,Artificial intelligence,San Jose,United States,North America,2011,$352M,"IA Ventures, Khosla Ventures, AME Cloud Ventures",IA Ventures, Khosla Ventures, AME Cloud Ventures,,3
Venafi,$1B,12/10/2020,Cybersecurity,Salt Lake City,United States,North America,2000,$174M,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",Pelion Venture Partners, Foundation Capital, Thoma Bravo,,3
Wacai,$1B,7/18/2018,Mobile & telecommunications,Hangzhou,China,Asia,2009,$369M,"Qiming Venture Partners, China Broadband Capital, CDH Investments",Qiming Venture Partners, China Broadband Capital, CDH Investments,,3
WeBull,$1B,2/18/2021,Fintech,Changsha,China,Asia,2016,$230M,"Bojiang Capital, Hongdao Capital, Mobai Capital",Bojiang Capital, Hongdao Capital, Mobai Capital,,3
WTOIP,$1B,4/8/2018,Internet software & services,Guangzhou,China,Asia,2013,$307M,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",Dark Horse Technology Group, Hopu Investment Management, Kefa Capital,,3
Xiaobing,$1B,7/12/2021,Fintech,Beijing,China,Asia,2020,Unknown,"NetEase Capital, Northern Light Venture Capital, Microsoft",NetEase Capital, Northern Light Venture Capital, Microsoft,,3
Xiaoe Tech,$1B,6/15/2021,Internet software & services,Shenzhen,China,Asia,2015,$149M,"GGV Capital, Hillhouse Capital Management, IDG Capital",GGV Capital, Hillhouse Capital Management, IDG Capital,,3
Yiguo,$1B,11/9/2016,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2005,$800M,"Alibaba Group, KKR, Goldman Sachs",Alibaba Group, KKR, Goldman Sachs,,3
Yimidida,$1B,1/14/2019,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$554M,"Source Code Capital, Global Logistic Properties, K2VC",Source Code Capital, Global Logistic Properties, K2VC,,3
Yipin Shengxian,$1B,3/11/2019,E-commerce & direct-to-consumer,Hefei,China,Asia,2017,$658M,"Eastern Bell Capital, Capital Today, Longzhu Capital",Eastern Bell Capital, Capital Today, Longzhu Capital,,3
Ynsect,$1B,2/21/2019,Other,Evry,France,Europe,2011,$393M,"Astanor Ventures, Upfront Ventures, IDInvest Partners",Astanor Ventures, Upfront Ventures, IDInvest Partners,,3
Hello TransTech,$1B,6/1/2018,Auto & transportation,Shanghai,China,Asia,2016,$2B,"Ant Financial Services Group, GGV Capital",Ant Financial Services Group, GGV Capital,,,2
Miaoshou Doctor,$1B,6/27/2019,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$947M,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",Sequoia Capital China, Qiming Venture Partners, Tencent Holdings,,3
ECARX,$1B,10/26/2020,Auto & transportation,Wuhan,China,Asia,2016,$394M,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",Geely, SIG Asia Investments, China State Capital Venture Capital Fund,,3
Eat Just,$1B,11/30/2017,Consumer & retail,San Francisco,United States,North America,2011,$440M,"Khosla Ventures, Horizons Ventures, Founders Fund",Khosla Ventures, Horizons Ventures, Founders Fund,,3
Trumid,$1B,7/15/2020,Fintech,New York,United States,North America,2014,$660M,"T. Rowe Price, Dragoneer Investment Group, BlackRock",T. Rowe Price, Dragoneer Investment Group, BlackRock,,3
Qualia,$1B,12/21/2020,Fintech,San Francisco,United States,North America,2015,$160M,"8VC, Menlo Ventures, Tiger Global Management",8VC, Menlo Ventures, Tiger Global Management,,3
Beisen,$1B,5/11/2021,Internet software & services,Beijing,China,Asia,2002,$388M,"Matrix Partners China, Sequoia Capital China, Genesis Capital",Matrix Partners China, Sequoia Capital China, Genesis Capital,,3
Earnix,$1B,2/21/2021,Fintech,Giv'atayim,Israel,Asia,2001,$98M,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",Jerusalem Venture Partners, Israel Growth Partners, Insight Partners,,3
Kujiale,$1B,10/25/2019,Internet software & services,Hangzhou,China,Asia,2011,$235M,"GGV Capital, IDG Capital, Linear Venture",GGV Capital, IDG Capital, Linear Venture,,3
Orca Security,$1B,3/23/2021,Cybersecurity,Portland,United States,North America,2019,$632M,"YL Ventures, Redpoint Ventures, GGV Capital",YL Ventures, Redpoint Ventures, GGV Capital,,3
Apus Group,$1B,1/16/2015,Mobile & telecommunications,Beijing,China,Asia,2014,$116M,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",Redpoint Ventures, QiMing Venture Partners, Chengwei Capital,,3
Forte Labs,$1B,5/12/2021,Fintech,San Francisco,United States,North America,2018,$910M,"Iris Capital, Accel, Elaia Partners",Iris Capital, Accel, Elaia Partners,,3
CureFit,$1B,11/10/2021,Health,Bengaluru,India,Asia,2016,$665M,"Chiratae Ventures, Accel, Kalaari Capital",Chiratae Ventures, Accel, Kalaari Capital,,3
DT Dream,$1B,6/8/2017,Data management & analytics,Hangzhou,China,Asia,2015,$267M,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",Alibaba Group, China Everbright Investment Management, Yinxinggu Capital,,3
fabric,$1B,2/24/2022,E-commerce & direct-to-consumer,Bellevue,United States,North America,2017,$294M,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures",Redpoint Ventures, Norwest Venture Partners, Sierra Ventures,,3
JOLLY Information Technology,$1B,5/29/2018,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2008,$96M,"Legend Capital, CDH Investments, Sequoia Capital China",Legend Capital, CDH Investments, Sequoia Capital China,,3
K Health,$1B,1/19/2021,Health,New York,United States,North America,2016,$271M,"Max Ventures, Mangrove Capital Partners, 14W",Max Ventures, Mangrove Capital Partners, 14W,,3
Mofang Living,$1B,4/13/2016,E-commerce & direct-to-consumer,Shanghai,China,Asia,2009,$650M,"Warburg Pincus, Aviation Industry Corporation of China",Warburg Pincus, Aviation Industry Corporation of China,,,2
Spendesk,$1B,1/18/2022,Fintech,Paris,France,Europe,2015,$314M,"Index Ventures, Eight Roads Ventures, General Atlantic",Index Ventures, Eight Roads Ventures, General Atlantic,,3
TaxBit,$1B,8/4/2021,Fintech,Draper,United States,North America,2018,$236M,"Insight Partners, Coinbase Ventures, PayPal Ventures",Insight Partners, Coinbase Ventures, PayPal Ventures,,3
XiaoZhu,$1B,11/1/2017,Travel,Beijing,China,Asia,2012,$572M,"Morningside Ventures, Capital Today, JOY Capital",Morningside Ventures, Capital Today, JOY Capital,,3
Yijiupi,$1B,9/20/2018,Consumer & retail,Beijing,China,Asia,2014,$511M,"Source Code Capital, Meituan Dianping, Tencent Holdings",Source Code Capital, Meituan Dianping, Tencent Holdings,,3
YunQuNa,$1B,6/29/2021,"Supply chain, logistics, & delivery",Shanghai,China,Asia,2015,$207M,"Source Code Capital, Coatue Management, DCM Ventures",Source Code Capital, Coatue Management, DCM Ventures,,3
Bordrin Motors,$1B,6/3/2019,Auto & transportation,Shanghai,China,Asia,2016,$362M,"China Grand Prosperity Investment, CSC Group",China Grand Prosperity Investment, CSC Group,,,2
Aleo,$1B,2/7/2022,Cybersecurity,San Francisco,United States,North America,2019,$228M,"Slow Ventures, Andreessen Horowitz, SoftBank Group",Slow Ventures, Andreessen Horowitz, SoftBank Group,,3
Coocaa,$1B,3/16/2018,Hardware,Shenzhen,China,Asia,2006,$218M,"Baidu, Tencent Holdings",Baidu, Tencent Holdings,,,2
Gymshark,$1B,8/14/2020,E-commerce & direct-to-consumer,Solihull,United Kingdom,Europe,2012,$262M,General Atlantic,General Atlantic,,,,1
M1 Finance,$1B,7/14/2021,Fintech,Chicago,United States,North America,2015,$323M,"Left Lane Capital, Clocktower Technology Ventures, Jump Capital",Left Lane Capital, Clocktower Technology Ventures, Jump Capital,,3
Ouyeel,$1B,6/27/2019,Internet software & services,Shanghai,China,Asia,2015,$432M,Taigang Venture Capital,Taigang Venture Capital,,,,1
SonderMind,$1B,7/28/2021,Health,Denver,United States,North America,2014,$183M,"Kickstart Fund, General Catalyst, Drive Capital",Kickstart Fund, General Catalyst, Drive Capital,,3
Astranis Space Technologies,$1B,4/14/2021,Mobile & telecommunications,San Francisco,United States,North America,2015,$303M,"Refactor Capital, Andreessen Horowitz, Fifty Years Fund",Refactor Capital, Andreessen Horowitz, Fifty Years Fund,,3
Away,$1B,5/15/2019,E-commerce & direct-to-consumer,New York,United States,North America,2015,$181M,"Global Founders Capital, Comcast Ventures, Forerunner Ventures",Global Founders Capital, Comcast Ventures, Forerunner Ventures,,3
Cabify,$1B,1/22/2018,Auto & transportation,Madrid,Spain,Europe,2011,$407M,"Seaya Ventures, Otter Rock Capital, Rakuten",Seaya Ventures, Otter Rock Capital, Rakuten,,3
Clarify Health,$1B,4/5/2022,Health,San Francisco,United States,North America,2015,$328M,"KKR, Aspenwood Ventures, Spark Capital",KKR, Aspenwood Ventures, Spark Capital,,3
Coda,$1B,7/8/2021,Internet software & services,Mountain View,United States,North America,2014,$240M,"Greylock Partners, General Catalyst, Khosla Ventures",Greylock Partners, General Catalyst, Khosla Ventures,,3
Deezer,$1B,8/2/2018,Internet software & services,Paris,France,Europe,2007,$532M,"Orange Digital Ventures, Access Industries",Orange Digital Ventures, Access Industries,,,2
Degreed,$1B,4/13/2021,Edtech,Pleasanton,United States,North America,2012,$318M,"Signal Peak Ventures, Owl Ventures, Jump Capital",Signal Peak Ventures, Owl Ventures, Jump Capital,,3
Deliverect,$1B,1/24/2022,Fintech,Ghent,Belgium,Europe,2018,$237M,"Newion Partners, SmartFin Capital, OMERS Ventures",Newion Partners, SmartFin Capital, OMERS Ventures,,3
Envoy,$1B,1/11/2022,Internet software & services,San Francisco,United States,North America,2013,$170M,"Andreessen Horowitz, Initialized Capital, TriplePoint Capital",Andreessen Horowitz, Initialized Capital, TriplePoint Capital,,3
Epidemic Sound,$1B,3/11/2021,Internet software & services,Stockholm,Sweden,Europe,2009,$509M,"EQT Partners, Blackstone",EQT Partners, Blackstone,,,2
Figment,$1B,12/20/2021,Internet software & services,Toronto,Canada,North America,2018,$165M,"Bonfire Ventures, Two Sigma Ventures, FJ Labs",Bonfire Ventures, Two Sigma Ventures, FJ Labs,,3
Firebolt,$1B,1/26/2022,Data management & analytics,Tel Aviv,Israel,Asia,2019,$264M,"TLV Partners, Zeev Ventures, Bessemer Venture Partners",TLV Partners, Zeev Ventures, Bessemer Venture Partners,,3
Five Star Business Finance,$1B,3/26/2021,Other,Chennai,India,Asia,1984,$456M,"Sequoia Capital India, Tiger Global Management, Tencent",Sequoia Capital India, Tiger Global Management, Tencent,,3
GupShup,$1B,4/8/2021,Internet software & services,San Francisco,United States,North America,2011,$384M,"Helion Venture Partners, Tiger Global management, CRV",Helion Venture Partners, Tiger Global management, CRV,,3
